id,date,topic_id,topic_prob
2837,2018-01-15,161,0.519412770318589
13989,2018-02-15,-1,0.0
13988,2018-02-15,-1,0.0
13987,2018-02-15,-1,0.0
22898,2018-03-14,39,0.5729981340567574
22900,2018-03-14,48,0.2145521112910519
22908,2018-03-14,405,0.80436940259807
22909,2018-03-14,-1,0.0
22910,2018-03-14,-1,0.0
22914,2018-03-14,-1,0.0
22915,2018-03-14,199,0.25717217607620163
22913,2018-03-14,-1,0.0
22911,2018-03-14,-1,0.0
22904,2018-03-14,25,0.5873047324217339
22919,2018-03-14,23,0.8333963571039499
22912,2018-03-14,357,0.687143103560422
22906,2018-03-14,-1,0.0
22905,2018-03-14,25,0.620299332511114
22916,2018-03-14,-1,0.0
22907,2018-03-14,-1,0.0
22925,2018-03-14,203,0.7315778095112695
22917,2018-03-14,-1,0.0
22918,2018-03-14,22,1.0
22921,2018-03-14,41,0.8803231907232321
22929,2018-03-14,-1,0.0
22930,2018-03-14,-1,0.0
22923,2018-03-14,127,1.0
22932,2018-03-14,-1,0.0
22931,2018-03-14,134,0.34542736219184167
22934,2018-03-14,41,0.6584172897323224
22922,2018-03-14,428,1.0
22924,2018-03-14,2,0.9992032556086574
22937,2018-03-14,663,1.0
22920,2018-03-14,-1,0.0
22926,2018-03-14,240,0.9358145219938814
22927,2018-03-14,112,0.33102059706962844
22928,2018-03-14,-1,0.0
22935,2018-03-14,-1,0.0
22941,2018-03-15,-1,0.0
22939,2018-03-14,-1,0.0
22945,2018-03-15,-1,0.0
22946,2018-03-15,-1,0.0
22938,2018-03-14,-1,0.0
22933,2018-03-14,-1,0.0
22948,2018-03-15,-1,0.0
22942,2018-03-15,15,1.0
22940,2018-03-19,-1,0.0
22950,2018-03-15,25,0.2798435735280577
22936,2018-03-14,639,0.9947485983355676
22951,2018-03-15,-1,0.0
22955,2018-03-15,-1,0.0
22953,2018-03-15,-1,0.0
22954,2018-03-15,6,0.8362078012884964
22956,2018-03-15,-1,0.0
22959,2018-03-15,39,0.4580812890092939
22943,2018-03-15,18,1.0
22961,2018-03-15,-1,0.0
22962,2018-03-15,-1,0.0
22963,2018-03-15,-1,0.0
22947,2018-03-15,-1,0.0
22965,2018-03-15,343,0.7306545667953128
22952,2018-03-15,-1,0.0
22949,2018-03-15,-1,0.0
22967,2018-03-15,72,1.0
22944,2018-03-15,8,1.0
22968,2018-03-15,41,0.6478852587201166
22960,2018-03-15,2,0.9674184811593645
22969,2018-03-15,677,1.0
22970,2018-03-15,-1,0.0
22958,2018-03-15,372,0.7816820047967803
22975,2018-03-15,-1,0.0
22957,2018-03-15,-1,0.0
22977,2018-03-15,-1,0.0
22978,2018-03-15,-1,0.0
22979,2018-03-15,-1,0.0
22966,2018-03-15,8,1.0
22964,2018-03-15,112,1.0
22971,2018-03-15,228,0.9334557603780328
22974,2018-03-15,-1,0.0
22972,2018-03-15,-1,0.0
22984,2018-03-15,1,1.0
22973,2018-03-15,-1,0.0
22980,2018-03-15,-1,0.0
22985,2018-03-15,-1,0.0
22986,2018-03-15,2,0.7817836005268143
22987,2018-03-15,-1,0.0
22988,2018-03-15,39,0.5606853904925333
22981,2018-03-15,8,0.7715163049729946
22976,2018-03-15,41,0.9519913359149677
22990,2018-03-15,118,0.5806730415536179
22991,2018-03-15,-1,0.0
22994,2018-03-15,240,1.0
22995,2018-03-15,8,1.0
22996,2018-03-15,-1,0.0
22999,2018-03-15,-1,0.0
22982,2018-03-15,-1,0.0
23001,2018-03-15,-1,0.0
23002,2018-03-15,388,0.9277999296618707
23003,2018-03-15,-1,0.0
22983,2018-03-15,21,1.0
22989,2018-03-15,-1,0.0
23005,2018-03-13,52,0.5780364164746128
22993,2018-03-15,-1,0.0
22992,2018-03-15,-1,0.0
23008,2018-03-13,24,0.12731156114009132
23009,2018-03-13,16,0.6022328252007351
22997,2018-03-15,222,0.9541397840052652
22998,2018-03-15,60,0.5374274773686735
23012,2018-03-13,-1,0.0
23000,2018-03-15,-1,0.0
23004,2018-03-13,52,0.5307887996052333
23007,2018-03-13,90,0.9491893789554137
23017,2018-03-13,-1,0.0
23006,2018-03-13,748,0.7003314210947592
23014,2018-03-13,68,0.6056803411319153
23016,2018-03-13,37,0.9349334508014996
23057,2018-03-18,30,0.42428124395940686
23058,2018-03-18,16,0.39952138470726406
23010,2018-03-13,-1,0.0
23011,2018-03-13,-1,0.0
23060,2018-03-18,-1,0.0
23013,2018-03-13,-1,0.0
23063,2018-03-18,-1,0.0
23015,2018-03-13,883,1.0
23065,2018-03-18,880,1.0
23055,2018-03-18,119,0.47528573092010634
23068,2018-03-18,-1,0.0
23056,2018-03-18,-1,0.0
23061,2018-03-18,357,0.9950017261449653
23070,2018-03-18,-1,0.0
23059,2018-03-18,-1,0.0
23062,2018-03-18,-1,0.0
23074,2018-03-18,-1,0.0
23066,2018-03-18,137,0.301385638909655
23075,2018-03-18,21,0.934001985923569
23076,2018-03-18,-1,0.0
23067,2018-03-18,465,0.5345080820522526
23078,2018-03-18,239,0.5837560519448088
23064,2018-03-18,73,0.5023931387896605
23081,2018-03-18,-1,0.0
23069,2018-03-18,171,0.4522751528683832
23079,2018-03-18,284,0.5088962183215058
23073,2018-03-18,81,0.6038223503031399
23071,2018-03-18,5,1.0
23085,2018-03-18,-1,0.0
23087,2018-03-18,36,1.0
23086,2018-03-18,-1,0.0
23088,2018-03-18,804,1.0
23082,2018-03-18,-1,0.0
23072,2018-03-18,47,1.0
23077,2018-03-18,101,0.9122334105915824
23080,2018-03-18,-1,0.0
23083,2018-03-18,145,0.983519529183291
